letter,num,freqs,包含单词的个数,百分比,首字母出现次数,末尾字母出现次数
a,975,0.0844521437851884,906,0.3923776526634907,140,63
b,280,0.024252923343438718,266,0.11520138588133391,173,11
c,475,0.0411433521004764,446,0.1931572109138155,198,31
d,393,0.03404071026418363,370,0.16024252923343438,111,118
e,1230,0.10653962754439152,1053,0.4560415764400173,72,422
f,229,0.019835426591598093,206,0.08921611087050671,135,26
g,310,0.026851450844521438,299,0.12949328713728886,115,41
h,387,0.033521004763967084,377,0.16327414465136422,69,137
i,670,0.058033780857514074,646,0.2797747942832395,34,11
j,27,0.0023386747509744478,27,0.01169337375487224,20,0
k,210,0.018189692507579038,202,0.08748375920311824,20,113
l,716,0.06201818969250758,645,0.2793417063663924,87,155
m,316,0.027371156344737982,298,0.12906019922044176,107,42
n,573,0.04963187527067995,548,0.23733217843222174,37,130
o,753,0.06522304027717626,672,0.2910350801212646,41,58
p,365,0.03161541792983976,345,0.1494153313122564,141,56
q,29,0.0025119099177132957,29,0.012559549588566478,23,0
r,897,0.07769597228237332,835,0.3616284105673452,105,212
s,668,0.05786054569077523,617,0.267215244694673,365,36
t,729,0.06314421827631009,667,0.288869640537029,149,253
u,466,0.04036379385015158,456,0.1974880900822867,33,1
v,152,0.013165872672152447,148,0.06409701169337376,43,0
w,194,0.016803811173668255,193,0.08358596795149416,82,17
x,37,0.0032048505846686876,37,0.01602425292334344,0,8
y,424,0.036725855348635775,416,0.18016457340840192,6,364
z,40,0.0034647033347769596,35,0.015158077089649198,3,4
